Epoch, Train Generator Loss, Val Generator Loss, Train Discriminator X Loss, Val Discriminator X Loss, Train Discriminator Y Loss, Val Discriminator Y Loss
122, 9.8830, 13.0708,0.2949, 0.3073,0.5013, 0.5024
123, 9.9447, 12.4415,0.2883, 0.3065,0.4975, 0.4758
124, 9.7403, 12.7738,0.3111, 0.2998,0.4984, 0.4370
125, 9.8655, 11.6358,0.3017, 0.2858,0.4996, 0.4764
126, 9.8717, 11.6899,0.3032, 0.2630,0.4980, 0.4635
127, 9.9971, 13.0943,0.2967, 0.2789,0.4987, 0.4767
128, 9.9734, 12.9097,0.2899, 0.2975,0.4946, 0.5212
129, 9.8574, 12.5718,0.3009, 0.2699,0.5009, 0.4475
130, 9.9250, 12.7986,0.2939, 0.3246,0.4989, 0.5058
131, 9.7975, 12.2316,0.3026, 0.2984,0.5026, 0.4692
132, 9.8998, 11.8885,0.2938, 0.3237,0.4937, 0.4866
133, 9.9608, 13.6564,0.2934, 0.2701,0.4971, 0.5148
134, 10.0485, 12.0101,0.2892, 0.2283,0.5018, 0.4931
135, 9.7165, 12.2314,0.3044, 0.2500,0.4963, 0.4610
136, 10.0066, 12.0623,0.2860, 0.2797,0.4978, 0.4912
137, 10.0265, 12.1573,0.2891, 0.3098,0.4988, 0.4681
138, 9.8643, 12.7724,0.2938, 0.2804,0.4968, 0.4709
139, 9.8524, 13.0298,0.3005, 0.2751,0.4968, 0.4967
140, 9.9260, 14.1235,0.2869, 0.2887,0.4998, 0.4863
141, 9.8775, 12.6344,0.2900, 0.2841,0.4980, 0.4743
142, 9.8614, 12.7788,0.2853, 0.2828,0.4980, 0.4805
143, 9.7836, 12.9453,0.2955, 0.2671,0.5000, 0.4754
144, 9.7987, 11.9630,0.2927, 0.2719,0.4973, 0.4862
145, 9.7106, 13.7368,0.3064, 0.2724,0.4949, 0.4707
146, 9.9628, 13.2739,0.2936, 0.2347,0.4941, 0.4987
147, 9.8606, 12.5505,0.2831, 0.2844,0.5016, 0.4696
148, 9.8661, 13.0559,0.2900, 0.2673,0.4944, 0.4744
149, 9.8121, 13.4775,0.2878, 0.2671,0.5018, 0.5004
150, 9.8823, 14.0839,0.2911, 0.3339,0.4979, 0.5120
